TimeGenerated,ActionType,RemoteIP,RemotePort,RemoteUrl,Protocol,InitiatingProcessAccountName,InitiatingProcessFileName
"Sep 1, 2026 1:34:33 PM",ConnectionAttempt,35.203.210.45,49807,,TcpV4,,
"Sep 1, 2026 1:34:35 PM",ConnectionAttempt,130.12.180.246,36032,,TcpV4,,
"Sep 1, 2026 1:34:37 PM",ConnectionAttempt,36.237.94.127,35865,,TcpV4,,
"Sep 1, 2026 1:34:46 PM",ConnectionSuccess,72.154.7.101,443,array808.prod.do.dsp.mp.microsoft.com,Tcp,network service,svchost.exe
"Sep 1, 2026 1:34:47 PM",ConnectionAcknowledged,72.154.7.101,443,,TcpV4,,
"Sep 1, 2026 1:34:55 PM",ConnectionAttempt,65.49.1.76,55276,,TcpV4,,
"Sep 1, 2026 1:34:59 PM",ConnectionAttempt,103.148.128.159,45063,,TcpV4,,
"Sep 1, 2026 1:35:13 PM",ConnectionAttempt,79.124.58.90,49436,,TcpV4,,
"Sep 1, 2026 1:35:17 PM",ConnectionAttempt,147.185.132.184,53612,,TcpV4,,
"Sep 1, 2026 1:35:29 PM",ConnectionAttempt,195.184.76.247,11331,,TcpV4,,
"Sep 1, 2026 1:35:33 PM",ConnectionAttempt,147.185.132.152,51674,,TcpV4,,
"Sep 1, 2026 1:35:33 PM",ConnectionAttempt,91.231.89.53,42745,,TcpV4,,
"Sep 1, 2026 1:35:39 PM",ConnectionAttempt,123.178.210.66,55023,,TcpV4,,
"Sep 1, 2026 1:35:41 PM",ConnectionAttempt,162.216.150.219,51951,,TcpV4,,
"Sep 1, 2026 1:35:47 PM",ConnectionAttempt,162.216.149.92,53962,,TcpV4,,
"Sep 1, 2026 1:35:49 PM",ConnectionAttempt,162.216.150.62,55710,,TcpV4,,
"Sep 1, 2026 1:35:51 PM",ConnectionAttempt,79.124.49.70,49427,,TcpV4,,
"Sep 1, 2026 1:36:01 PM",ConnectionAttempt,213.33.251.63,37923,,TcpV4,,
"Sep 1, 2026 1:36:19 PM",ConnectionAttempt,130.12.180.246,53408,,TcpV4,,
"Sep 1, 2026 1:36:31 PM",ConnectionAttempt,162.216.150.133,52216,,TcpV4,,
"Sep 1, 2026 1:36:33 PM",ConnectionAttempt,91.230.168.165,1327,,TcpV4,,
"Sep 1, 2026 1:36:38 PM",ConnectionSuccess,2.18.67.78,443,assets.msn.com,Tcp,mac,widgets.exe
"Sep 1, 2026 1:36:39 PM",ConnectionAttempt,35.203.211.12,50442,,TcpV4,,
"Sep 1, 2026 1:36:39 PM",ConnectionAcknowledged,2.18.67.78,443,,TcpV4,,
"Sep 1, 2026 1:36:56 PM",ConnectionAttempt,147.185.133.197,49434,,TcpV4,,
"Sep 1, 2026 1:37:18 PM",ConnectionAttempt,147.185.132.160,51455,,TcpV4,,
"Sep 1, 2026 1:37:18 PM",ConnectionAttempt,35.203.211.247,49777,,TcpV4,,
"Sep 1, 2026 1:37:22 PM",ConnectionAttempt,79.124.49.90,49428,,TcpV4,,
"Sep 1, 2026 1:37:38 PM",ConnectionAttempt,162.216.150.115,51065,,TcpV4,,
"Sep 1, 2026 1:37:42 PM",ConnectionAttempt,147.185.132.142,52781,,TcpV4,,
"Sep 1, 2026 1:37:50 PM",ConnectionAttempt,35.203.210.179,55687,,TcpV4,,
"Sep 1, 2026 1:37:58 PM",ConnectionAttempt,35.203.210.214,49352,,TcpV4,,
"Sep 1, 2026 1:38:02 PM",ConnectionAttempt,178.20.210.152,59480,,TcpV4,,
"Sep 1, 2026 1:38:10 PM",ConnectionAttempt,147.185.133.51,56330,,TcpV4,,
"Sep 1, 2026 1:38:14 PM",ConnectionAttempt,130.12.180.246,55504,,TcpV4,,
"Sep 1, 2026 1:38:18 PM",ConnectionAttempt,35.203.211.99,49922,,TcpV4,,
"Sep 1, 2026 1:38:22 PM",ConnectionAttempt,194.187.176.114,50345,,TcpV4,,
"Sep 1, 2026 1:38:28 PM",ConnectionAttempt,75.127.6.2,32796,,TcpV4,,
"Sep 1, 2026 1:38:28 PM",ConnectionAttempt,195.182.16.23,48981,,TcpV4,,
"Sep 1, 2026 1:38:32 PM",ConnectionAttempt,195.184.76.95,46518,,TcpV4,,
"Sep 1, 2026 1:38:34 PM",ConnectionAttempt,91.196.152.219,30195,,TcpV4,,
"Sep 1, 2026 1:38:40 PM",ConnectionAttempt,35.203.210.204,55422,,TcpV4,,
"Sep 1, 2026 1:38:44 PM",ConnectionAttempt,35.203.211.165,50004,,TcpV4,,
"Sep 1, 2026 1:38:52 PM",ConnectionAttempt,91.230.168.31,49391,,TcpV4,,
"Sep 1, 2026 1:38:52 PM",ConnectionAttempt,147.185.132.104,49712,,TcpV4,,
"Sep 1, 2026 1:38:58 PM",ConnectionAttempt,93.113.10.244,60001,,TcpV4,,
"Sep 1, 2026 1:39:20 PM",ConnectionAttempt,195.184.76.67,21089,,TcpV4,,
"Sep 1, 2026 1:39:24 PM",ConnectionAttempt,35.203.210.134,54396,,TcpV4,,
"Sep 1, 2026 1:39:24 PM",ConnectionAttempt,35.203.211.138,49297,,TcpV4,,
"Sep 1, 2026 1:39:24 PM",ConnectionAttempt,77.90.185.16,65105,,TcpV4,,
"Sep 1, 2026 1:39:26 PM",ConnectionAcknowledged,104.208.16.94,443,,TcpV4,,
"Sep 1, 2026 1:39:44 PM",ConnectionAttempt,86.54.31.34,29570,,TcpV4,,
"Sep 1, 2026 1:39:44 PM",ConnectionAttempt,162.216.149.132,51026,,TcpV4,,
"Sep 1, 2026 1:39:46 PM",ConnectionAttempt,130.12.180.246,63927,,TcpV4,,
"Sep 1, 2026 1:39:48 PM",ConnectionAttempt,78.128.114.162,49417,,TcpV4,,
"Sep 1, 2026 1:40:10 PM",ConnectionAttempt,71.6.233.2,110,,TcpV4,,
"Sep 1, 2026 1:40:12 PM",ConnectionAttempt,66.132.172.126,9283,,TcpV4,,
"Sep 1, 2026 1:40:18 PM",ConnectionAttempt,46.30.158.50,6528,,TcpV4,,
"Sep 1, 2026 1:40:24 PM",ConnectionAttempt,91.231.89.203,7111,,TcpV4,,
"Sep 1, 2026 1:40:30 PM",ConnectionAttempt,147.185.133.182,50099,,TcpV4,,
"Sep 1, 2026 1:40:34 PM",ConnectionAttempt,45.63.4.69,35864,,TcpV4,,
