TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Sep 2, 2026 1:03:13 AM",datafiles-corp-s01,admin,77.90.185.21,LogonFailure,2026-09-02T05:03:13.505038Z   135 Connect Access denied for user 'admin'@'77.90.185.21' (using password: NO)
"Sep 2, 2026 12:11:34 AM",datafiles-corp-s01,root,64.89.163.139,LogonSuccess,2026-09-02T04:11:34.181127Z   129 Connect root@64.89.163.139 on  using TCP/IP
"Sep 2, 2026 12:11:34 AM",datafiles-corp-s01,root,64.89.163.139,LogonSuccess,2026-09-02T04:11:34.646062Z   130 Connect root@64.89.163.139 on  using TCP/IP
"Sep 2, 2026 12:11:33 AM",datafiles-corp-s01,root,64.89.163.139,LogonSuccess,2026-09-02T04:11:33.717538Z   128 Connect root@64.89.163.139 on  using TCP/IP
"Sep 2, 2026 12:11:33 AM",datafiles-corp-s01,root,64.89.163.139,LogonFailure,2026-09-02T04:11:33.348406Z   127 Connect Access denied for user 'root'@'64.89.163.139' (using password: NO)
"Sep 2, 2026 12:11:28 AM",datafiles-corp-s01,root,64.89.163.139,LogonSuccess,2026-09-02T04:11:27.899058Z   126 Connect root@64.89.163.139 on  using TCP/IP
"Sep 2, 2026 12:11:27 AM",datafiles-corp-s01,root,64.89.163.139,LogonFailure,2026-09-02T04:11:27.620762Z   125 Connect Access denied for user 'root'@'64.89.163.139' (using password: NO)
"Sep 2, 2026 12:06:14 AM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T04:06:14.397832Z   123 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 2, 2026 12:06:14 AM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T04:06:13.843685Z   122 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 12:06:13 AM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T04:06:13.184806Z   121 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
