"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"DataFiles-Corp-","\Microsoft\Windows\CertificateServicesClient\SystemTask","N/A","Ready","Interactive/Background","9/2/2026 7:08:07 PM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","Disabled","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DataFiles-Corp-","\Microsoft\Windows\CertificateServicesClient\SystemTask","N/A","Ready","Interactive/Background","9/2/2026 7:08:07 PM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","Disabled","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DataFiles-Corp-","\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready","Interactive/Background","9/2/2026 5:22:58 AM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","INTERACTIVE","Disabled","Disabled","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DataFiles-Corp-","\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready","Interactive/Background","9/2/2026 5:22:58 AM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","INTERACTIVE","Disabled","Disabled","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DataFiles-Corp-","\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready","Interactive/Background","9/2/2026 5:22:58 AM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","INTERACTIVE","Disabled","Disabled","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DataFiles-Corp-","\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready","Interactive/Background","9/2/2026 5:22:58 AM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","INTERACTIVE","Disabled","Disabled","Scheduling data is not available in this format.","When an event occurs","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DataFiles-Corp-","\Microsoft\Windows\CertificateServicesClient\UserTask-Roam","N/A","Ready","Interactive/Background","9/1/2026 1:29:53 PM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","INTERACTIVE","Disabled","Disabled","Scheduling data is not available in this format.","When an event occurs","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DataFiles-Corp-","\Microsoft\Windows\Chkdsk\ProactiveScan","N/A","Ready","Interactive/Background","9/2/2026 11:18:15 AM","0","Microsoft Corporation","COM handler","N/A","NTFS Volume Health Scan","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DataFiles-Corp-","\Microsoft\Windows\Chkdsk\SyspartRepair","N/A","Ready","Interactive/Background","11/30/1999 12:00:00 AM","267011","N/A","%windir%\system32\bcdboot.exe %windir% /sysrepair","N/A","N/A","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DataFiles-Corp-","\Microsoft\Windows\Clip\License Validation","N/A","Disabled","Interactive/Background","11/30/1999 12:00:00 AM","267011","Microsoft Corporation","%SystemRoot%\system32\ClipUp.exe -p -s -o","N/A","Windows Store legacy license migration task","Disabled","Disabled","","SYSTEM","Disabled","Disabled","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
